,Symbol,Name,MarketCap,IPOyear,Sector,industry
1569,HX,Hexindai Inc.,$58.58M,2017.0,Finance,Finance: Consumer Services
1570,HFFG,HF Foods Group Inc.,$443.75M,2017.0,Consumer Non-Durables,Food Distributors
1571,HIBB,"Hibbett Sports, Inc.",$357.43M,1996.0,Consumer Services,Other Specialty Stores
1572,SNLN,Highland/iBoxx Senior Loan ETF,,,,
1573,HIHO,Highway Holdings Limited,$8.52M,,Capital Goods,Metal Fabrications
1574,HIMX,"Himax Technologies, Inc.",$680.13M,2006.0,Technology,Semiconductors
1575,HIFS,Hingham Institution for Savings,$333.31M,,,
1576,HQI,"HireQuest, Inc.",$81.41M,,Technology,Professional Services
1577,HSTO,Histogen Inc.,$36.27M,2013.0,Health Care,Major Pharmaceuticals
1578,HCCH,HL Acquisitions Corp.,$79.59M,2018.0,Finance,Business Services
1579,HCCHR,HL Acquisitions Corp.,,2018.0,Finance,Business Services
1580,HCCHU,HL Acquisitions Corp.,,2018.0,Finance,Business Services
1581,HCCHW,HL Acquisitions Corp.,,2018.0,Finance,Business Services
1582,HMNF,"HMN Financial, Inc.",$69.85M,,Finance,Savings Institutions
1583,HMSY,HMS Holdings Corp,$2.85B,1992.0,Miscellaneous,Business Services
1584,HOLI,"Hollysys Automation Technologies, Ltd.",$826.33M,,Energy,Industrial Machinery/Components
1585,HOLX,"Hologic, Inc.",$14.84B,1990.0,Health Care,Medical Electronics
1586,HBCP,"Home Bancorp, Inc.",$220.52M,,Finance,Banks
1587,HOMB,"Home BancShares, Inc.",$2.31B,2006.0,Finance,Major Banks
1588,HFBL,"Home Federal Bancorp, Inc. of Louisiana",$43.01M,,Finance,Savings Institutions
1589,HMST,"HomeStreet, Inc.",$524.07M,2012.0,Finance,Major Banks
1590,HTBI,"HomeTrust Bancshares, Inc.",$234.37M,2012.0,Finance,Savings Institutions
1591,FIXX,"Homology Medicines, Inc.",$702.16M,2018.0,Health Care,Major Pharmaceuticals
1592,HOFT,Hooker Furniture Corporation,$227.45M,,Consumer Durables,Home Furnishings
1593,HOOK,HOOKIPA Pharma Inc.,$264.14M,1995.0,Health Care,Major Pharmaceuticals
1594,HOPE,"Hope Bancorp, Inc.",$1.01B,,Finance,Major Banks
1595,HBNC,"Horizon Bancorp, Inc.",$396.14M,,Finance,Major Banks
1596,HRZN,Horizon Technology Finance Corporation,$189.46M,2010.0,,
1597,HZNP,Horizon Therapeutics Public Limited Company,$11.37B,2011.0,Health Care,Major Pharmaceuticals
1598,TWNK,"Hostess Brands, Inc.",$1.53B,2015.0,Consumer Non-Durables,Packaged Foods
1599,TWNKW,"Hostess Brands, Inc.",,2015.0,Consumer Non-Durables,Packaged Foods
1600,HOTH,"Hoth Therapeutics, Inc.",$33.82M,2019.0,Health Care,Major Pharmaceuticals
1601,HMHC,Houghton Mifflin Harcourt Company,$186.86M,2013.0,Consumer Services,Books
1602,HWCC,Houston Wire & Cable Company,$42.46M,2006.0,Consumer Non-Durables,Telecommunications Equipment
1603,HOVNP,Hovnanian Enterprises Inc,,,Capital Goods,Homebuilding
1604,HBMD,"Howard Bancorp, Inc.",$174.43M,,Finance,Major Banks
1605,HTGM,"HTG Molecular Diagnostics, Inc.",$40.75M,2015.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments
1606,HTHT,Huazhu Group Limited,$11.1B,2010.0,Consumer Services,Hotels/Resorts
1607,HUBG,"Hub Group, Inc.",$1.69B,1996.0,Transportation,Oil Refining/Marketing
1608,HUSN,Hudson Capital Inc.,$19.93M,2017.0,Consumer Services,Professional Services
1609,HECCU,Hudson Executive Investment Corp.,,2020.0,Finance,Business Services
1610,HSON,"Hudson Global, Inc.",$23.52M,,Technology,Professional Services
1611,HDSN,"Hudson Technologies, Inc.",$43.48M,,Consumer Durables,Industrial Specialties
1612,HUIZ,Huize Holding Limited,$514.18M,2020.0,Finance,Specialty Insurers
1613,HBAN,Huntington Bancshares Incorporated,$8.17B,,Finance,Major Banks
1614,HBANN,Huntington Bancshares Incorporated,,,Finance,Major Banks
1615,HBANO,Huntington Bancshares Incorporated,,,Finance,Major Banks
1616,HURC,"Hurco Companies, Inc.",$175.95M,,Capital Goods,Industrial Machinery/Components
1617,HURN,Huron Consulting Group Inc.,$964.46M,2004.0,Consumer Services,Professional Services
1618,HCM,Hutchison China MediTech Limited,$4.18B,2016.0,Health Care,Major Pharmaceuticals
1619,HBP,"Huttig Building Products, Inc.",$32.27M,,Consumer Services,RETAIL: Building Materials
1620,HVBC,"HV Bancorp, Inc.",$28.57M,2017.0,Finance,Major Banks
1621,HYMC,Hycroft Mining Holding Corporation,$522.08M,2018.0,Basic Industries,Precious Metals
1622,HYMCW,Hycroft Mining Holding Corporation,,2018.0,Basic Industries,Precious Metals
1623,HYRE,HyreCar Inc.,$51.6M,2018.0,Consumer Services,Rental/Leasing Companies
1624,IIIV,"i3 Verticals, Inc.",$746.93M,2018.0,Miscellaneous,Business Services
1625,IAC,IAC/InterActiveCorp,$9.91B,,Consumer Services,Other Specialty Stores
1626,IBEX,IBEX Limited,,,,
1627,ICAD,icad inc.,$198.6M,,Health Care,Medical/Dental Instruments
1628,IEP,Icahn Enterprises L.P.,$10.27B,,Capital Goods,Auto Parts:O.E.M.
1629,ICCH,"ICC Holdings, Inc.",$36.79M,2017.0,Finance,Property-Casualty Insurers
1630,ICFI,"ICF International, Inc.",$1.13B,2006.0,Consumer Services,Professional Services
1631,ICHR,Ichor Holdings,$636.58M,2016.0,Technology,Semiconductors
1632,ICLK,iClick Interactive Asia Group Limited,$401.99M,2017.0,Technology,Computer Software: Prepackaged Software
1633,ICLR,ICON plc,$9.15B,1998.0,Health Care,Biotechnology: Commercial Physical & Biological Resarch
1634,ICON,"Iconix Brand Group, Inc.",$9.72M,,Consumer Non-Durables,Shoe Manufacturing
1635,ICUI,"ICU Medical, Inc.",$3.76B,1992.0,Health Care,Medical/Dental Instruments
1636,IPWR,Ideal Power Inc.,$13.01M,2013.0,Energy,Industrial Machinery/Components
1637,IDEX,"Ideanomics, Inc.",$240.09M,,Consumer Services,Television Services
1638,IDYA,"IDEAYA Biosciences, Inc.",$361.33M,2019.0,Health Care,Major Pharmaceuticals
1639,INVE,"Identiv, Inc.",$76.53M,,Technology,Computer peripheral equipment
1640,IDRA,"Idera Pharmaceuticals, Inc.",$59.11M,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
1641,IDXX,"IDEXX Laboratories, Inc.",$28.98B,1991.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
1642,IEC,IEC Electronics Corp.,$89.18M,,Technology,Electrical Products
1643,IESC,"IES Holdings, Inc.",$426.74M,,Capital Goods,Engineering & Construction
1644,IROQ,"IF Bancorp, Inc.",$59.95M,2011.0,Finance,Savings Institutions
1645,IFMK,iFresh Inc.,$26.17M,,Consumer Services,Food Chains
1646,IGMS,"IGM Biosciences, Inc.",$2.2B,2019.0,Health Care,Major Pharmaceuticals
1647,IHRT,"iHeartMedia, Inc.",$454.29M,,Consumer Services,Broadcasting
1648,INFO,IHS Markit Ltd.,$30.05B,1996.0,Technology,"Computer Software: Programming, Data Processing"
1649,IIVI,II-VI Incorporated,$4.09B,1987.0,Capital Goods,Electronic Components
1650,IKNX,Ikonics Corporation,$6.6M,,Miscellaneous,Industrial Machinery/Components
1651,ILMN,"Illumina, Inc.",$54.77B,2000.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments
1652,IMAB,I-MAB,$1.66B,2020.0,Health Care,Major Pharmaceuticals
1653,IMAC,"IMAC Holdings, Inc.",$11.81M,2019.0,Health Care,Medical Specialities
1654,IMACW,"IMAC Holdings, Inc.",,2019.0,Health Care,Medical Specialities
1655,ISNS,"Image Sensing Systems, Inc.",$19.14M,1995.0,Capital Goods,Industrial Machinery/Components
1656,IMRA,IMARA Inc.,$397.97M,2020.0,Health Care,Major Pharmaceuticals
1657,IMBI,"iMedia Brands, Inc.",$34.17M,,Consumer Services,Catalog/Specialty Distribution
1658,IMTX,Immatics N.V.,,,Finance,Business Services
1659,IMTXW,Immatics N.V.,,,Finance,Business Services
1660,IMMR,Immersion Corporation,$160.81M,1999.0,Technology,Computer peripheral equipment
1661,ICCC,ImmuCell Corporation,$39.53M,1987.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
1662,IMUX,"Immunic, Inc. ",$188.68M,2014.0,Health Care,Major Pharmaceuticals
1663,IMGN,"ImmunoGen, Inc.",$840.64M,1989.0,Health Care,Major Pharmaceuticals
1664,IMMU,"Immunomedics, Inc.",$9.77B,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
1665,IMVT,"Immunovant, Inc. ",$2.12B,2019.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
1666,IMRN,Immuron Limited,$29.7M,2017.0,Health Care,Major Pharmaceuticals
1667,IMRNW,Immuron Limited,,2017.0,Health Care,Major Pharmaceuticals
1668,IMMP,Immutep Limited,$40.82M,,Health Care,Major Pharmaceuticals
1669,PI,"Impinj, Inc.",$678.72M,2016.0,Capital Goods,Industrial Machinery/Components
1670,IMV,IMV Inc.,$181.41M,,Health Care,Major Pharmaceuticals
1671,NARI,"Inari Medical, Inc.",$2.45B,2020.0,Health Care,Medical/Dental Instruments
1672,INCY,Incyte Corporation,$23.45B,,Health Care,Biotechnology: Commercial Physical & Biological Resarch
1673,INDB,Independent Bank Corp.,$2B,,Finance,Major Banks
1674,IBCP,Independent Bank Corporation,$274.29M,,Finance,Major Banks
1675,IBTX,"Independent Bank Group, Inc",$1.59B,2013.0,Finance,Major Banks
1676,ILPT,Industrial Logistics Properties Trust,$1.29B,2018.0,Consumer Services,Real Estate Investment Trusts
1677,INFN,Infinera Corporation,$1.17B,2007.0,Public Utilities,Telecommunications Equipment
1678,INFI,"Infinity Pharmaceuticals, Inc.",$62.03M,,Health Care,Major Pharmaceuticals
1679,IFRX,InflaRx N.V.,$131.57M,2017.0,,
1680,III,"Information Services Group, Inc.",$96.65M,,Consumer Services,Professional Services
1681,IEA,"Infrastructure and Energy Alternatives, Inc.",$83.72M,2016.0,Finance,Business Services
1682,IEAWW,"Infrastructure and Energy Alternatives, Inc.",,2016.0,Finance,Business Services
1683,IMKTA,"Ingles Markets, Incorporated",$806.34M,1987.0,Consumer Services,Food Chains
1684,INMD,INMODE LTD.,$874.75M,2019.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
1685,INMB,INmune Bio Inc.,$66.01M,2019.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
1686,IPHA,Innate Pharma S.A.,$494.35M,2019.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
1687,INWK,"InnerWorkings, Inc.",$64.81M,2006.0,Miscellaneous,Business Services
1688,INOD,Innodata Inc.,$34.49M,1993.0,Technology,EDP Services
1689,IOSP,Innospec Inc.,$1.78B,,Basic Industries,Major Chemicals
1690,ISSC,"Innovative Solutions and Support, Inc.",$83.39M,2000.0,Technology,EDP Services
1691,INVA,"Innoviva, Inc.",$1.38B,,Health Care,Major Pharmaceuticals
1692,INGN,"Inogen, Inc",$768.14M,2014.0,Health Care,Industrial Specialties
1693,INOV,"Inovalon Holdings, Inc.",$2.93B,2015.0,Technology,EDP Services
1694,INO,"Inovio Pharmaceuticals, Inc.",$3.68B,,Health Care,Medical/Dental Instruments
1695,INPX,Inpixon ,$47.92M,2014.0,Technology,EDP Services
1696,INSG,Inseego Corp.,$1.11B,,Capital Goods,Telecommunications Equipment
1697,NSIT,"Insight Enterprises, Inc.",$1.56B,1995.0,Consumer Services,Catalog/Specialty Distribution
1698,ISIG,"Insignia Systems, Inc.",$8.84M,1991.0,Consumer Services,Advertising
1699,INSM,"Insmed, Inc.",$2.83B,,Health Care,Major Pharmaceuticals
1700,INSE,"Inspired Entertainment, Inc.",$55.94M,2014.0,Technology,Computer Software: Prepackaged Software
1701,IIIN,"Insteel Industries, Inc.",$351.89M,,Capital Goods,Steel/Iron Ore
1702,PODD,Insulet Corporation,$13.83B,2007.0,Health Care,Medical/Dental Instruments
1703,INSU,Insurance Acquisition Corp.,$249.7M,2019.0,Finance,Business Services
1704,INSUU,Insurance Acquisition Corp.,,2019.0,Finance,Business Services
1705,INSUW,Insurance Acquisition Corp.,,2019.0,Finance,Business Services
1706,NTEC,Intec Pharma Ltd.,$19.05M,2015.0,Health Care,Major Pharmaceuticals
1707,IART,Integra LifeSciences Holdings Corporation,$3.93B,,Health Care,Medical/Dental Instruments
1708,IMTE,Integrated Media Technology Limited,$13.77M,,Consumer Non-Durables,Consumer Electronics/Appliances
1709,INTC,Intel Corporation,$247.35B,,Technology,Semiconductors
1710,NTLA,"Intellia Therapeutics, Inc.",$1.44B,2016.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
1711,IDN,"Intellicheck, Inc.",$144M,1999.0,Technology,Computer Software: Prepackaged Software
1712,IPAR,"Inter Parfums, Inc.",$1.39B,,Consumer Non-Durables,Package Goods/Cosmetics
1713,IBKR,"Interactive Brokers Group, Inc.",$20.29B,2019.0,Finance,Investment Bankers/Brokers/Service
1714,ICPT,"Intercept Pharmaceuticals, Inc.",$1.44B,2012.0,Health Care,Major Pharmaceuticals
1715,IDCC,"InterDigital, Inc.",$1.74B,,Miscellaneous,Multi-Sector Companies
1716,TILE,"Interface, Inc.",$407.59M,,Consumer Durables,Home Furnishings
1717,IBOC,International Bancshares Corporation,$1.78B,,Finance,Major Banks
1718,IGIC,International General Insurance Holdings Ltd.,$303.28M,2018.0,Finance,Specialty Insurers
1719,IGICW,International General Insurance Holdings Ltd.,,2018.0,Finance,Specialty Insurers
1720,IMXI,"International Money Express, Inc.",$476.19M,2017.0,Miscellaneous,Business Services
1721,IDXG,"Interpace Biosciences, Inc.",$21.03M,,Health Care,Medical/Dental Instruments
1722,XENT,"Intersect ENT, Inc.",$592.9M,2014.0,Health Care,Medical/Dental Instruments
1723,IPLDP,Interstate Power and Light Company,,,Public Utilities,Power Generation
1724,IVAC,"Intevac, Inc.",$117.92M,1995.0,Technology,Industrial Machinery/Components
1725,ITCI,Intra-Cellular Therapies Inc.,$1.62B,,Health Care,Major Pharmaceuticals
1726,IIN,IntriCon Corporation,$109.4M,,Capital Goods,Electrical Products
1727,INTU,Intuit Inc.,$80.29B,1993.0,Technology,Computer Software: Prepackaged Software
1728,ISRG,"Intuitive Surgical, Inc.",$66.99B,2000.0,Health Care,Industrial Specialties
1729,IVA,Inventiva S.A.,,,,
1730,PLW,Invesco 1-30 Laddered Treasury ETF,,,,
1731,ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,,,,
1732,BSCK,Invesco BulletShares 2020 Corporate Bond ETF,,,,
1733,BSJK,Invesco BulletShares 2020 High Yield Corporate Bond ETF,,,,
1734,BSCL,Invesco BulletShares 2021 Corporate Bond ETF,,,,
1735,BSJL,Invesco BulletShares 2021 High Yield Corporate Bond ETF,,,,
1736,BSML,Invesco BulletShares 2021 Municipal Bond ETF,,,,
1737,BSAE,Invesco BulletShares 2021 USD Emerging Markets Debt ETF,,,,
1738,BSCM,Invesco BulletShares 2022 Corporate Bond ETF,,,,
1739,BSJM,Invesco BulletShares 2022 High Yield Corporate Bond ETF,,,,
1740,BSMM,Invesco BulletShares 2022 Municipal Bond ETF,,,,
1741,BSBE,Invesco BulletShares 2022 USD Emerging Markets Debt ETF,,,,
1742,BSCN,Invesco BulletShares 2023 Corporate Bond ETF,,,,
1743,BSJN,Invesco BulletShares 2023 High Yield Corporate Bond ETF,,,,
1744,BSMN,Invesco BulletShares 2023 Municipal Bond ETF,,,,
1745,BSCE,Invesco BulletShares 2023 USD Emerging Markets Debt ETF,,,,
1746,BSCO,Invesco BulletShares 2024 Corporate Bond ETF,,,,
1747,BSJO,Invesco BulletShares 2024 High Yield Corporate Bond ETF,,,,
1748,BSMO,Invesco BulletShares 2024 Municipal Bond ETF,,,,
1749,BSDE,Invesco BulletShares 2024 USD Emerging Markets Debt ETF,,,,
1750,BSCP,Invesco BulletShares 2025 Corporate Bond ETF,,,,
1751,BSJP,Invesco BulletShares 2025 High Yield Corporate Bond ETF,,,,
1752,BSMP,Invesco BulletShares 2025 Municipal Bond ETF,,,,
1753,BSCQ,Invesco BulletShares 2026 Corporate Bond ETF,,,,
1754,BSJQ,Invesco BulletShares 2026 High Yield Corporate Bond ETF,,,,
1755,BSMQ,Invesco BulletShares 2026 Municipal Bond ETF,,,,
1756,BSCR,Invesco BulletShares 2027 Corporate Bond ETF,,,,
1757,BSJR,Invesco BulletShares 2027 High Yield Corporate Bond ETF,,,,
1758,BSMR,Invesco BulletShares 2027 Municipal Bond ETF,,,,
1759,BSCS,Invesco BulletShares 2028 Corporate Bond ETF,,,,
1760,BSMS,Invesco BulletShares 2028 Municipal Bond ETF,,,,
1761,BSCT,Invesco BulletShares 2029 Corporate Bond ETF,,,,
1762,BSMT,Invesco BulletShares 2029 Municipal Bond ETF,,,,
1763,PKW,Invesco BuyBack Achievers ETF,,,,
1764,PFM,Invesco Dividend Achievers ETF,,,,
1765,PYZ,Invesco DWA Basic Materials Momentum ETF,,,,
1766,PEZ,Invesco DWA Consumer Cyclicals Momentum ETF,,,,
1767,PSL,Invesco DWA Consumer Staples Momentum ETF,,,,
1768,PIZ,Invesco DWA Developed Markets Momentum ETF,,,,
1769,PIE,Invesco DWA Emerging Markets Momentum ETF,,,,
1770,PXI,Invesco DWA Energy Momentum ETF,,,,
1771,PFI,Invesco DWA Financial Momentum ETF,,,,
1772,PTH,Invesco DWA Healthcare Momentum ETF,,,,
1773,PRN,Invesco DWA Industrials Momentum ETF,,,,
1774,PDP,Invesco DWA Momentum ETF,,,,
1775,DWAS,Invesco DWA SmallCap Momentum ETF,,,,
1776,PTF,Invesco DWA Technology Momentum ETF,,,,
1777,PUI,Invesco DWA Utilities Momentum ETF,,,,
1778,IDLB,Invesco FTSE International Low Beta Equal Weight ETF,,,,
1779,PRFZ,Invesco FTSE RAFI US 1500 Small-Mid ETF,,,,
1780,PIO,Invesco Global Water ETF,,,,
1781,PGJ,Invesco Golden Dragon China ETF,,,,
1782,PEY,Invesco High Yield Equity Dividend Achievers ETF,,,,
1783,IPKW,Invesco International BuyBack Achievers ETF,,,,
1784,PID,Invesco International Dividend Achievers ETF,,,,
1785,KBWB,Invesco KBW Bank ETF,,,,
1786,KBWD,Invesco KBW High Dividend Yield Financial ETF,,,,
1787,KBWY,Invesco KBW Premium Yield Equity REIT ETF,,,,
1788,KBWP,Invesco KBW Property & Casualty Insurance ETF,,,,
1789,KBWR,Invesco KBW Regional Banking ETF,,,,
1790,PNQI,Invesco Nasdaq Internet ETF,,,,
1791,PDBC,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ET,,,,
1792,QQQ,"Invesco QQQ Trust, Series 1",,,,
1793,ISDX,Invesco RAFI Strategic Developed ex-US ETF,,,,
1794,ISDS,Invesco RAFI Strategic Developed ex-US Small Company ETF,,,,
1795,ISEM,Invesco RAFI Strategic Emerging Markets ETF,,,,
1796,IUS,Invesco RAFI Strategic US ETF,,,,
1797,IUSS,Invesco RAFI Strategic US Small Company ETF,,,,
1798,USLB,Invesco Russell 1000 Low Beta Equal Weight ETF,,,,
1799,PSCD,Invesco S&P SmallCap Consumer Discretionary ETF,,,,
1800,PSCC,Invesco S&P SmallCap Consumer Staples ETF,,,,
1801,PSCE,Invesco S&P SmallCap Energy ETF,,,,
1802,PSCF,Invesco S&P SmallCap Financials ETF,,,,
1803,PSCH,Invesco S&P SmallCap Health Care ETF,,,,
1804,PSCI,Invesco S&P SmallCap Industrials ETF,,,,
1805,PSCT,Invesco S&P SmallCap Information Technology ETF,,,,
1806,PSCM,Invesco S&P SmallCap Materials ETF,,,,
1807,PSCU,Invesco S&P SmallCap Utilities & Communication Services ETF,,,,
1808,VRIG,Invesco Variable Rate Investment Grade ETF,,,,
1809,PHO,Invesco Water Resources ETF,,,,
1810,ISTR,Investar Holding Corporation,$138.7M,2014.0,Finance,Major Banks
1811,CMFNL,"Investcorp Credit Management BDC, Inc.",,,,
1812,ICMB,"Investcorp Credit Management BDC, Inc.",$52.07M,2014.0,,
1813,ISBC,"Investors Bancorp, Inc.",$1.96B,,Finance,Major Banks
1814,ITIC,Investors Title Company,$208.98M,,Finance,Specialty Insurers
1815,NVIV,InVivo Therapeutics Holdings Corp.,$6.98M,,Health Care,Medical/Dental Instruments
1816,IONS,"Ionis Pharmaceuticals, Inc.",$8.42B,,Health Care,Major Pharmaceuticals
1817,IOVA,"Iovance Biotherapeutics, Inc.",$4.44B,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
1818,IPGP,IPG Photonics Corporation,$8.7B,2006.0,Technology,Semiconductors
1819,CLRG,IQ Chaikin U.S. Large Cap ETF,,,,
1820,CSML,IQ Chaikin U.S. Small Cap ETF,,,,
1821,IQ,"iQIYI, Inc.",$16.98B,2018.0,Consumer Services,Consumer Electronics/Video Chains
1822,IRMD,iRadimed Corporation,$283.05M,2014.0,Health Care,Medical/Dental Instruments
1823,IRTC,"iRhythm Technologies, Inc.",$3.15B,2016.0,Health Care,Medical/Dental Instruments
1824,IRIX,IRIDEX Corporation,$29.03M,1996.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
1825,IRDM,Iridium Communications Inc,$3.47B,,Capital Goods,Telecommunications Equipment
1826,IRBT,iRobot Corporation,$2.4B,2005.0,Consumer Durables,Consumer Electronics/Appliances
1827,IRWD,"Ironwood Pharmaceuticals, Inc.",$1.57B,2010.0,Health Care,Major Pharmaceuticals
1828,IRCP,IRSA Propiedades Comerciales S.A.,$205.4M,,Consumer Services,Building operators
1829,SLQD,iShares 0-5 Year Investment Grade Corporate Bond ETF,,,,
1830,ISHG,iShares 1-3 Year International Treasury Bond ETF,,,,
1831,SHY,iShares 1-3 Year Treasury Bond ETF,,,,
1832,TLT,iShares 20+ Year Treasury Bond ETF,,,,
1833,IEI,iShares 3-7 Year Treasury Bond ETF,,,,
1834,IEF,iShares 7-10 Year Treasury Bond ETF,,,,
1835,AIA,iShares Asia 50 ETF,,,,
1836,USIG,iShares Broad USD Investment Grade Corporate Bond ETF,,,,
1837,COMT,iShares Commodities Select Strategy ETF,,,,
1838,ISTB,iShares Core 1-5 Year USD Bond ETF,,,,
1839,IXUS,iShares Core MSCI Total International Stock ETF,,,,
1840,IUSG,iShares Core S&P U.S. Growth ETF,,,,
1841,IUSV,iShares Core S&P U.S. Value ETF,,,,
1842,IUSB,iShares Core Total USD Bond Market ETF,,,,
1843,HEWG,iShares Currency Hedged MSCI Germany ETF,,,,
1844,DMXF,iShares ESG Advanced MSCI EAFE ETF,,,,
1845,USXF,iShares ESG Advanced MSCI USA ETF,,,,
1846,SUSB,iShares ESG Aware 1-5 Year USD Corporate Bond ETF,,,,
1847,SUSC,iShares ESG Aware USD Corporate Bond ETF,,,,
1848,ESGD,iShares ESG MSCI EAFE ETF,,,,
1849,ESGE,iShares ESG MSCI EM ETF,,,,
1850,LDEM,iShares ESG MSCI EM Leaders ETF,,,,
1851,ESGU,iShares ESG MSCI USA ETF,,,,
1852,SUSL,iShares ESG MSCI USA Leaders ETF,,,,
1853,XT,iShares Exponential Technologies ETF,,,,
1854,FALN,iShares Fallen Angels USD Bond ETF,,,,
1855,IFEU,iShares FTSE EPRA/NAREIT Europe Index Fund,,,,
1856,IFGL,iShares FTSE EPRA/NAREIT Global Real Estate ex-U.S. Index Fund,,,,
1857,BGRN,iShares Global Green Bond ETF,,,,
1858,IGF,iShares Global Infrastructure ETF,,,,
1859,GNMA,iShares GNMA Bond ETF,,,,
1860,IBTA,iShares iBonds Dec 2021 Term Treasury ETF,,,,
1861,IBTB,iShares iBonds Dec 2022 Term Treasury ETF,,,,
1862,IBTD,iShares iBonds Dec 2023 Term Treasury ETF,,,,
1863,IBTE,iShares iBonds Dec 2024 Term Treasury ETF,,,,
1864,IBTF,iShares iBonds Dec 2025 Term Treasury ETF,,,,
1865,IBTG,iShares iBonds Dec 2026 Term Treasury ETF,,,,
1866,IBTH,iShares iBonds Dec 2027 Term Treasury ETF,,,,
1867,IBTI,iShares iBonds Dec 2028 Term Treasury ETF,,,,
1868,IBTJ,iShares iBonds Dec 2029 Term Treasury ETF,,,,
1869,HYXE,iShares iBoxx $ High Yield ex Oil & Gas Corporate Bond ETF,,,,
1870,IGIB,iShares Intermediate-Term Corporate Bond ETF,,,,
1871,IGOV,iShares International Treasury Bond ETF,,,,
1872,EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,,,,
1873,MBB,iShares MBS ETF,,,,
1874,JKI,iShares Morningstar Mid-Cap ETF,,,,
1875,ACWX,iShares MSCI ACWI ex US Index Fund,,,,
1876,ACWI,iShares MSCI ACWI Index Fund,,,,
1877,AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,,,,
1878,EWZS,iShares MSCI Brazil Small-Cap ETF,,,,
1879,MCHI,iShares MSCI China ETF,,,,
1880,SCZ,iShares MSCI EAFE Small-Cap ETF,,,,
1881,EEMA,iShares MSCI Emerging Markets Asia ETF,,,,
1882,EMXC,iShares MSCI Emerging Markets ex China ETF,,,,
1883,EUFN,iShares MSCI Europe Financials Sector Index Fund,,,,
1884,IEUS,iShares MSCI Europe Small-Cap ETF,,,,
1885,RING,iShares MSCI Global Gold Miners ETF,,,,
1886,SDG,iShares MSCI Global Impact ETF,,,,
1887,EWJE,iShares MSCI Japan Equal Weighted ETF,,,,
1888,EWJV,iShares MSCI Japan Value ETF,,,,
1889,ENZL,iShares MSCI New Zealand ETF,,,,
1890,QAT,iShares MSCI Qatar ETF,,,,
1891,TUR,iShares MSCI Turkey ETF,,,,
1892,UAE,iShares MSCI UAE ETF,,,,
1893,IBB,iShares Nasdaq Biotechnology Index Fund,,,,
1894,SOXX,iShares PHLX SOX Semiconductor Sector Index Fund,,,,
1895,PFF,iShares Preferred and Income Securities ETF,,,,
1896,AMCA,iShares Russell 1000 Pure U.S. Revenue ETF,,,,
1897,EMIF,iShares S&P Emerging Markets Infrastructure Index Fund,,,,
1898,ICLN,iShares S&P Global Clean Energy Index Fund,,,,
1899,WOOD,iShares S&P Global Timber & Forestry Index Fund,,,,
1900,INDY,iShares S&P India Nifty 50 Index Fund,,,,
1901,IJT,iShares S&P Small-Cap 600 Growth ETF,,,,
1902,DVY,iShares Select Dividend ETF,,,,
1903,SHV,iShares Short Treasury Bond ETF,,,,
1904,IGSB,iShares Short-Term Corporate Bond ETF,,,,
1905,ITMR,Itamar Medical Ltd.,$325.79M,,Health Care,Medical/Dental Instruments
1906,ITI,"Iteris, Inc.",$183.3M,,Capital Goods,Telecommunications Equipment
1907,ITRM,Iterum Therapeutics plc,$21.07M,2018.0,Health Care,Major Pharmaceuticals
1908,ITRI,"Itron, Inc.",$2.59B,1993.0,Capital Goods,Electrical Products
1909,ITRN,Ituran Location and Control Ltd.,$349.78M,2005.0,Technology,Electronic Components
1910,ISEE,"IVERIC bio, Inc.",$425.63M,2013.0,Health Care,Major Pharmaceuticals
1911,IZEA,"IZEA Worldwide, Inc.",$42.32M,,Consumer Services,Advertising
1912,JJSF,J & J Snack Foods Corp.,$2.27B,1986.0,Consumer Non-Durables,Specialty Foods
1913,MAYS,"J. W. Mays, Inc.",$45.36M,,Consumer Services,Building operators
1914,JBHT,"J.B. Hunt Transport Services, Inc.",$13.18B,,Transportation,Trucking Freight/Courier Services
1915,JCOM,"j2 Global, Inc.",$2.76B,1999.0,Technology,Telecommunications Equipment
1916,JKHY,"Jack Henry & Associates, Inc.",$13.97B,1985.0,Technology,EDP Services
1917,JACK,Jack In The Box Inc.,$1.69B,,Consumer Services,Restaurants
