,Unnamed: 0,symbol,name,lastsale,marketcap,ipoyear,sector,industry,current_price,current_price_to_book_date,current_price_to_book,price_to_book_q1,price_to_book_q2,price_to_book_q3,price_to_book_q4
1005,1005,LOCO,"El Pollo Loco Holdings, Inc.",15.76,$553.23M,2014.0,Consumer Services,Restaurants,16.10,,,,,,
1006,1006,ESLT,Elbit Systems Ltd.,136.48,$6.03B,,Capital Goods,Military/Government/Technical,135.81,,,,,,
1007,1007,SOLO,Electrameccanica Vehicles Corp. Ltd.,3.41,$218.65M,,Capital Goods,Auto Manufacturing,3.29,,,,,,
1008,1008,SOLOW,Electrameccanica Vehicles Corp. Ltd.,1.7238,,,Capital Goods,Auto Manufacturing,,,,,,,
1009,1009,ECOR,"electroCore, Inc.",1.68,$64.06M,2018.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,,,,,,,
1010,1010,EA,Electronic Arts Inc.,135.36,$39.08B,,Technology,Computer Software: Prepackaged Software,135.24,,,,,,
1011,1011,ELSE,"Electro-Sensors, Inc.",3.63,$12.33M,,Capital Goods,Industrial Machinery/Components,3.52,,,,,,
1012,1012,ESBK,Elmira Savings Bank NY (The),10.5,$36.88M,,Finance,Major Banks,10.79,,,,,,
1013,1013,ELOX,"Eloxx Pharmaceuticals, Inc.",3.03,$121.59M,,Health Care,Biotechnology: Commercial Physical & Biological Resarch,2.94,,,,,,
1014,1014,ELTK,Eltek Ltd.,4.3485,$19.05M,1997.0,Technology,Electrical Products,4.45,,,,,,
1015,1015,EMCF,Emclaire Financial Corp,21.5755,$58.44M,,Finance,Major Banks,21.50,,,,,,
1016,1016,EMKR,EMCORE Corporation,3.08,$90.46M,1997.0,Technology,Semiconductors,3.07,,,,,,
1017,1017,ENTA,"Enanta Pharmaceuticals, Inc.",48.82,$976.61M,2013.0,Health Care,Major Pharmaceuticals,48.16,,,,,,
1018,1018,ECPG,Encore Capital Group Inc,35.33,$1.1B,,Finance,Finance Companies,34.82,,,,,,
1019,1019,WIRE,Encore Wire Corporation,50.43,$1.04B,1992.0,Capital Goods,Metal Fabrications,49.94,,,,,,
1020,1020,ENDP,Endo International plc,3.33,$764.92M,,Health Care,Major Pharmaceuticals,3.30,,,,,,
1021,1021,NDRA,ENDRA Life Sciences Inc.,0.9701,$14.07M,2017.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,1.04,,,,,,
1022,1022,NDRAW,ENDRA Life Sciences Inc.,0.13,,2017.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,,,,,,,
1023,1023,EIGI,"Endurance International Group Holdings, Inc.",6.25,$877.81M,2013.0,Technology,Computer Software: Prepackaged Software,,,,,,,
1024,1024,WATT,Energous Corporation,3.32,$135.72M,2014.0,Technology,Radio And Television Broadcasting And Communications Equipment,3.06,,,,,,
1025,1025,EFOI,"Energy Focus, Inc.",5.12,$16.38M,,Consumer Durables,Building Products,5.27,,,,,,
1026,1026,ERII,"Energy Recovery, Inc.",7.78,$433.01M,2008.0,Technology,Industrial Machinery/Components,,,,,,,
1027,1027,ENG,ENGlobal Corporation,1.15,$31.53M,,Consumer Services,Military/Government/Technical,1.15,,,,,,
1028,1028,ENLV,Enlivex Therapeutics Ltd.,5.54,$74.39M,2014.0,Health Care,Major Pharmaceuticals,5.51,,,,,,
1029,1029,ENOB,"Enochian Biosciences, Inc.",4.07,$189.24M,,Health Care,Major Pharmaceuticals,3.95,,,,,,
1030,1030,ENPH,"Enphase Energy, Inc.",61.67,$7.72B,2012.0,Technology,Semiconductors,59.65,,,,,,
1031,1031,ESGR,Enstar Group Limited,176.92,$3.92B,,Finance,Property-Casualty Insurers,174.56,,,,,,
1032,1032,ESGRO,Enstar Group Limited,25.975,,,Finance,Property-Casualty Insurers,26.15,,,,,,
1033,1033,ESGRP,Enstar Group Limited,26.1,,,Finance,Property-Casualty Insurers,26.04,,,,,,
1034,1034,ETTX,Entasis Therapeutics Holdings Inc.,3.045,$83.1M,2018.0,Health Care,Major Pharmaceuticals,3.01,,,,,,
1035,1035,ENTG,"Entegris, Inc.",69.65,$9.38B,2000.0,Consumer Non-Durables,Plastic Products,67.84,,,,,,
1036,1036,ENTX,Entera Bio Ltd.,2.2,$40.12M,2018.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2.02,,,,,,
1037,1037,ENTXW,Entera Bio Ltd.,0.3999,,2018.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,,,
1038,1038,EBTC,Enterprise Bancorp Inc,22.2,$264.44M,,Finance,Major Banks,21.52,,,,,,
1039,1039,EFSC,Enterprise Financial Services Corporation,30.46,$797.93M,,Finance,Major Banks,,,,,,,
1040,1040,EVSI,"Envision Solar International, Inc.",15.31,$102.14M,,Technology,Semiconductors,14.82,,,,,,
1041,1041,EVSIW,"Envision Solar International, Inc.",8.9106,,,Technology,Semiconductors,,,,,,,
1042,1042,EPZM,"Epizyme, Inc.",14.18,$1.43B,2013.0,Health Care,Major Pharmaceuticals,14.33,,,,,,
1043,1043,PLUS,ePlus inc.,75.79,$1.02B,1996.0,Technology,Retail: Computer Software & Peripheral Equipment,72.96,,,,,,
1044,1044,EPSN,Epsilon Energy Ltd.,3.06,$72.82M,,Energy,Oil & Gas Production,3.11,,,,,,
1045,1045,EQ,"Equillium, Inc.",13.26,$234.49M,2018.0,Health Care,Major Pharmaceuticals,13.31,,,,,,
1046,1046,EQIX,"Equinix, Inc.",736.69,$65.21B,2000.0,Consumer Services,Real Estate Investment Trusts,,,,,,,
1047,1047,EQBK,"Equity Bancshares, Inc.",14.61,$222.06M,2015.0,Finance,Major Banks,14.56,,,,,,
1048,1048,ERIC,Ericsson,11.61,$38.59B,,Technology,Radio And Television Broadcasting And Communications Equipment,11.39,,,,,,
1049,1049,ERIE,Erie Indemnity Company,207.82,$10.87B,,Finance,Specialty Insurers,206.25,,,,,,
1050,1050,ERYP,Erytech Pharma S.A.,7.9615,$142.81M,2017.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),8.00,,,,,,
1051,1051,ESCA,"Escalade, Incorporated",15.45,$217.8M,,Consumer Non-Durables,Recreational Products/Toys,15.20,,,,,,
1052,1052,ESPR,"Esperion Therapeutics, Inc.",44.09,$1.22B,2013.0,Health Care,Major Pharmaceuticals,39.97,,,,,,
1053,1053,GMBL,Esports Entertainment Group Inc.,5.75,$63.1M,,Consumer Services,Services-Misc. Amusement & Recreation,5.75,,,,,,
1054,1054,GMBLW,Esports Entertainment Group Inc.,3.004,,,Consumer Services,Services-Misc. Amusement & Recreation,,,,,,,
1055,1055,ESQ,"Esquire Financial Holdings, Inc.",16.24,$124.55M,2017.0,Finance,Commercial Banks,15.50,,,,,,
1056,1056,ESSA,"ESSA Bancorp, Inc.",13.03,$144.55M,,Finance,Banks,13.00,,,,,,
1057,1057,EPIX,ESSA Pharma Inc.,6.45,$134.32M,,Health Care,Major Pharmaceuticals,6.40,,,,,,
1058,1058,ESTA,Establishment Labs Holdings Inc.,16.65,$388.42M,2018.0,Health Care,Industrial Specialties,16.81,,,,,,
1059,1059,VBND,ETF Series Solutions Trust Vident Core U.S. Bond Strategy Fund,51.9165,$446.48M,,,,,,,,,,
1060,1060,VUSE,ETF Series Solutions Trust Vident Core US Equity ETF,28.58,$434.42M,,,,,,,,,,
1061,1061,VIDI,ETF Series Solutions Trust Vident International Equity Fund,21.16,,,,,,,,,,,
1062,1062,ETON,"Eton Pharmaceuticals, Inc.",5.68,$118.81M,2018.0,Health Care,Major Pharmaceuticals,5.61,,,,,,
1063,1063,ETSY,"Etsy, Inc.",102.46,$12.16B,2015.0,Miscellaneous,Business Services,,,,,,,
1064,1064,CLWT,Euro Tech Holdings Company Limited,3.21,$9.93M,1997.0,Consumer Durables,Diversified Electronic Products,3.18,,,,,,
1065,1065,EDRY,EuroDry Ltd.,3.69,$8.5M,,Consumer Services,Marine Transportation,3.62,,,,,,
1066,1066,EEFT,"Euronet Worldwide, Inc.",100.17,$5.23B,1997.0,Finance,Investment Bankers/Brokers/Service,98.27,,,,,,
1067,1067,ESEA,Euroseas Ltd.,2.76,$15.46M,,Transportation,Marine Transportation,2.75,,,,,,
1068,1068,EVLO,"Evelo Biosciences, Inc.",4.16,$191.91M,2018.0,Health Care,Major Pharmaceuticals,4.02,,,,,,
1069,1069,EVBG,"Everbridge, Inc.",134.89,$4.63B,2016.0,Technology,Computer Software: Prepackaged Software,,,,,,,
1070,1070,EVK,"Ever-Glory International Group, Inc.",1.195,$17.69M,,Consumer Non-Durables,Apparel,,,,,,,
1071,1071,EVER,"EverQuote, Inc.",48.29,$1.31B,2018.0,Technology,"Computer Software: Programming, Data Processing",47.96,,,,,,
1072,1072,MRAM,"Everspin Technologies, Inc.",7.26,$135.51M,2016.0,Technology,Semiconductors,7.20,,,,,,
1073,1073,EVOP,"EVO Payments, Inc.",23.87,$1.96B,2018.0,Miscellaneous,Business Services,23.38,,,,,,
1074,1074,EVFM,"Evofem Biosciences, Inc.",2.9,$228.22M,2014.0,Health Care,Major Pharmaceuticals,2.93,,,,,,
1075,1075,EVGN,Evogene Ltd.,1.13,$29.1M,,Basic Industries,Agricultural Chemicals,1.09,,,,,,
1076,1076,EVOK,"Evoke Pharma, Inc.",3.53,$87.2M,2013.0,Health Care,Major Pharmaceuticals,3.47,,,,,,
1077,1077,EOLS,"Evolus, Inc.",3.34,$112.65M,2018.0,Health Care,Major Pharmaceuticals,,,,,,,
1078,1078,EVOL,"Evolving Systems, Inc.",1.18,$14.39M,1998.0,Technology,EDP Services,1.19,,,,,,
1079,1079,EXAS,Exact Sciences Corporation,97.74,$14.65B,2001.0,Health Care,Biotechnology: Commercial Physical & Biological Resarch,95.39,,,,,,
1080,1080,XGN,Exagen Inc.,11.83,$149.53M,2019.0,Health Care,Medical Specialities,11.37,,,,,,
1081,1081,ROBO,Exchange Traded Concepts Trust ROBO Global Robotics and Automa,45.95,$211.37M,,,,,,,,,,
1082,1082,XELA,"Exela Technologies, Inc.",0.515,$75.97M,2015.0,Miscellaneous,Business Services,,,,,,,
1083,1083,EXEL,"Exelixis, Inc.",24.98,$7.66B,2000.0,Health Care,Biotechnology: Commercial Physical & Biological Resarch,24.59,,,,,,
1084,1084,EXC,Exelon Corporation,38.64,$37.65B,,Public Utilities,Power Generation,37.80,,,,,,
1085,1085,EXFO,EXFO Inc,4.005,$223.06M,,Capital Goods,Electrical Products,4.00,,,,,,
1086,1086,XCUR,"Exicure, Inc.",2.35,$204.8M,,Health Care,Major Pharmaceuticals,2.31,,,,,,
1087,1087,EXLS,"ExlService Holdings, Inc.",64.64,$2.22B,2006.0,Miscellaneous,Business Services,63.31,,,,,,
1088,1088,EXPI,"eXp World Holdings, Inc.",20.89,$1.39B,,Finance,Real Estate,18.59,,,,,,
1089,1089,EXPE,"Expedia Group, Inc.",85.17,$12.01B,,Consumer Services,Transportation Services,83.72,,,,,,
1090,1090,EXPD,"Expeditors International of Washington, Inc.",80.39,$13.38B,,Transportation,Oil Refining/Marketing,,,,,,,
1091,1091,EXPC,Experience Investment Corp.,10.15,$348.91M,2019.0,Finance,Business Services,10.13,,,,,,
1092,1092,EXPCU,Experience Investment Corp.,10.26,,2019.0,Finance,Business Services,10.29,,,,,,
1093,1093,EXPCW,Experience Investment Corp.,0.9958,,2019.0,Finance,Business Services,,,,,,,
1094,1094,EXPO,"Exponent, Inc.",80.93,$4.17B,,Consumer Services,Professional Services,80.01,,,,,,
1095,1095,STAY,"Extended Stay America, Inc.",11.31,$2.01B,,Consumer Services,Hotels/Resorts,11.36,,,,,,
1096,1096,EXTR,"Extreme Networks, Inc.",4.62,$555.37M,1999.0,Technology,Computer Communications Equipment,4.45,,,,,,
1097,1097,EYEG,"Eyegate Pharmaceuticals, Inc.",4.74,$21.93M,,Health Care,Major Pharmaceuticals,4.75,,,,,,
1098,1098,EYEGW,"Eyegate Pharmaceuticals, Inc.",0.0437,,,Health Care,Major Pharmaceuticals,,,,,,,
1099,1099,EYEN,"Eyenovia, Inc.",4.24,$83.85M,2018.0,Health Care,Major Pharmaceuticals,3.91,,,,,,
1100,1100,EYPT,"EyePoint Pharmaceuticals, Inc.",0.7402,$92.33M,,Capital Goods,Biotechnology: Laboratory Analytical Instruments,0.73,,,,,,
1101,1101,EZPW,"EZCORP, Inc.",5.81,$319.94M,1991.0,Consumer Services,Other Specialty Stores,5.67,,,,,,
1102,1102,FLRZ,"F5 Finishes, Inc.",,,,Basic Industries,Engineering & Construction,,,,,,,
1103,1103,FFIV,"F5 Networks, Inc.",154.71,$9.42B,1999.0,Technology,Computer Communications Equipment,152.34,,,,,,
1104,1104,FB,"Facebook, Inc.",232.6,$663.61B,2012.0,Technology,"Computer Software: Programming, Data Processing",230.71,,,,,,
1105,1105,FLMN,Falcon Minerals Corporation,2.83,$243.36M,2017.0,Energy,Oil & Gas Production,2.74,,,,,,
1106,1106,FLMNW,Falcon Minerals Corporation,0.0999,,2017.0,Energy,Oil & Gas Production,,,,,,,
1107,1107,DUO,Fangdd Network Group Ltd.,8.85,$706.64M,2019.0,Finance,Real Estate,,,,,,,
1108,1108,FANH,Fanhua Inc.,20.5,$1.1B,,Finance,Specialty Insurers,20.55,,,,,,
1109,1109,FARM,Farmer Brothers Company,5.94,$102.97M,,Consumer Non-Durables,Packaged Foods,5.80,,,,,,
1110,1110,FMAO,"Farmers & Merchants Bancorp, Inc.",21.97,$244.51M,,Finance,Savings Institutions,,,,,,,
1111,1111,FMNB,Farmers National Banc Corp.,10.79,$304.03M,,Finance,Major Banks,10.74,,,,,,
1112,1112,FAMI,"FARMMI, INC.",0.7359,$9.68M,2018.0,Consumer Non-Durables,Packaged Foods,0.70,,,,,,
1113,1113,FARO,"FARO Technologies, Inc.",57.89,$1.03B,1997.0,Capital Goods,Industrial Machinery/Components,55.73,,,,,,
1114,1114,FAST,Fastenal Company,45.77,$26.25B,1987.0,Consumer Services,RETAIL: Building Materials,45.74,,,,,,
1115,1115,FAT,FAT Brands Inc.,3.3001,$39.25M,2017.0,Consumer Services,Restaurants,3.40,,,,,,
1116,1116,FATBP,FAT Brands Inc.,17.06,,,Consumer Services,Restaurants,16.34,,,,,,
1117,1117,FATBW,FAT Brands Inc.,1.0,,,Consumer Services,Restaurants,1.00,,,,,,
1118,1118,FATE,"Fate Therapeutics, Inc.",32.52,$2.82B,2013.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),31.90,,,,,,
1119,1119,FBSS,"Fauquier Bankshares, Inc.",14.45,$54.83M,,Finance,Major Banks,14.27,,,,,,
1120,1120,FNHC,FedNat Holding Company,9.35,$127.85M,,Finance,Property-Casualty Insurers,9.35,,,,,,
1121,1121,FENC,Fennec Pharmaceuticals Inc.,8.76,$222.12M,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),8.68,,,,,,
1122,1122,GSM,Ferroglobe PLC,0.568,$96.08M,,Capital Goods,Metal Fabrications,,,,,,,
1123,1123,FFBW,"FFBW, Inc.",8.571,$66.04M,2017.0,Finance,Savings Institutions,8.55,,,,,,
1124,1124,FGEN,"FibroGen, Inc",42.88,$3.82B,2014.0,Health Care,Major Pharmaceuticals,42.47,,,,,,
1125,1125,FDBC,"Fidelity D & D Bancorp, Inc.",51.28,$255.18M,,Finance,Major Banks,51.92,,,,,,
1126,1126,ONEQ,Fidelity Nasdaq Composite Index Tracking Stock,406.94,,,,,,,,,,,
1127,1127,FDUS,Fidus Investment Corporation,8.97,$219.2M,2011.0,,,8.91,,,,,,
1128,1128,FDUSG,Fidus Investment Corporation,23.65,,,,,,,,,,,
1129,1129,FDUSL,Fidus Investment Corporation,24.12,,,,,,,,,,,
1130,1130,FDUSZ,Fidus Investment Corporation,24.2,,,,,,,,,,,
1131,1131,FRGI,"Fiesta Restaurant Group, Inc.",6.525,$182.53M,,Consumer Services,Restaurants,,,,,,,
1132,1132,FITB,Fifth Third Bancorp,19.405,$13.81B,,Finance,Major Banks,19.54,,,,,,
1133,1133,FITBI,Fifth Third Bancorp,27.63,,,Finance,Major Banks,27.87,,,,,,
1134,1134,FITBO,Fifth Third Bancorp,26.0151,,,Finance,Major Banks,25.88,,,,,,
1135,1135,FITBP,Fifth Third Bancorp,26.5,,,Finance,Major Banks,26.60,,,,,,
1136,1136,FISI,"Financial Institutions, Inc.",15.8,$253.11M,1999.0,Finance,Major Banks,,,,,,,
1137,1137,FNJN,"Finjan Holdings, Inc.",1.54,$42.86M,,Miscellaneous,Multi-Sector Companies,1.54,,,,,,
1138,1138,FSRV,FinServ Acquisition Corp.,10.12,$322.98M,2019.0,Finance,Business Services,10.26,,,,,,
1139,1139,FSRVU,FinServ Acquisition Corp.,10.59,,2019.0,Finance,Business Services,10.59,,,,,,
1140,1140,FSRVW,FinServ Acquisition Corp.,1.35,,2019.0,Finance,Business Services,,,,,,,
1141,1141,FTAC,FinTech Acquisition Corp. III,10.98,$486.28M,2019.0,Finance,Business Services,10.78,,,,,,
1142,1142,FTACU,FinTech Acquisition Corp. III,13.39,,2018.0,Finance,Business Services,11.95,,,,,,
1143,1143,FTACW,FinTech Acquisition Corp. III,2.15,,2019.0,Finance,Business Services,2.08,,,,,,
1144,1144,FEYE,"FireEye, Inc.",13.35,$2.97B,2013.0,Technology,Computer peripheral equipment,,,,,,,
1145,1145,FBNC,First Bancorp,22.56,$655.16M,1987.0,Finance,Major Banks,22.94,,,,,,
1146,1146,FNLC,"First Bancorp, Inc (ME)",21.77,$237.86M,,Finance,Major Banks,21.36,,,,,,
1147,1147,FRBA,First Bank,6.77,$133.15M,2013.0,,,6.50,,,,,,
1148,1148,BUSE,First Busey Corporation,17.77,$966.71M,,Finance,Major Banks,17.49,,,,,,
1149,1149,FBIZ,"First Business Financial Services, Inc.",14.72,$125.47M,,Finance,Major Banks,14.72,,,,,,
1150,1150,FCAP,"First Capital, Inc.",58.0,$195.92M,,Finance,Savings Institutions,55.60,,,,,,
1151,1151,FCBP,First Choice Bancorp,15.59,$181.96M,,Finance,Major Banks,15.98,,,,,,
1152,1152,FCNCA,"First Citizens BancShares, Inc.",415.12,$4.22B,,Finance,Major Banks,415.09,,,,,,
1153,1153,FCNCP,"First Citizens BancShares, Inc.",25.1,,,Finance,Major Banks,,,,,,,
1154,1154,FCBC,"First Community Bankshares, Inc.",21.29,$376.85M,,Finance,Major Banks,21.16,,,,,,
1155,1155,FCCO,First Community Corporation,13.49,$100.67M,,Finance,Major Banks,,,,,,,
1156,1156,FFBC,First Financial Bancorp.,14.21,$1.39B,,Finance,Major Banks,14.70,,,,,,
1157,1157,FFIN,"First Financial Bankshares, Inc.",29.56,$4.2B,,Finance,Major Banks,30.56,,,,,,
1158,1158,THFF,First Financial Corporation Indiana,35.11,$481.52M,,Finance,Major Banks,,,,,,,
1159,1159,FFNW,"First Financial Northwest, Inc.",8.75,$87.93M,,Finance,Major Banks,8.79,,,,,,
1160,1160,FFWM,First Foundation Inc.,16.26,$725.61M,,Finance,Major Banks,16.11,,,,,,
1161,1161,FGBI,"First Guaranty Bancshares, Inc.",12.04,$117.28M,,Finance,Savings Institutions,,,,,,,
1162,1162,FHB,"First Hawaiian, Inc.",18.59,$2.41B,2016.0,Finance,Major Banks,17.64,,,,,,
1163,1163,INBK,First Internet Bancorp,14.92,$146.24M,,Finance,Major Banks,15.09,,,,,,
1164,1164,INBKL,First Internet Bancorp,23.6,,,Finance,Major Banks,,,,,,,
1165,1165,INBKZ,First Internet Bancorp,23.1,,,Finance,Major Banks,,,,,,,
1166,1166,FIBK,"First Interstate BancSystem, Inc.",30.51,$1.97B,2010.0,Finance,Major Banks,30.27,,,,,,
1167,1167,FRME,First Merchants Corporation,26.1,$1.41B,,Finance,Major Banks,25.68,,,,,,
1168,1168,FMBH,"First Mid Bancshares, Inc.",24.96,$416.89M,,Finance,Major Banks,24.58,,,,,,
1169,1169,FMBI,"First Midwest Bancorp, Inc.",12.66,$1.45B,,Finance,Major Banks,12.48,,,,,,
1170,1170,FMBIO,"First Midwest Bancorp, Inc.",24.99,,,Finance,Major Banks,24.97,,,,,,
1171,1171,FMBIP,"First Midwest Bancorp, Inc.",25.2,,,Finance,Major Banks,25.12,,,,,,
1172,1172,FXNC,First National Corporation,13.6,$65.96M,,Finance,Major Banks,13.43,,,,,,
1173,1173,FNWB,First Northwest Bancorp,11.82,$123.27M,2015.0,Finance,Banks,11.73,,,,,,
1174,1174,FSFG,"First Savings Financial Group, Inc.",37.79,$89.76M,,Finance,Savings Institutions,36.98,,,,,,
1175,1175,FSEA,First Seacoast Bancorp,6.21,$37.78M,2019.0,Finance,Savings Institutions,6.25,,,,,,
1176,1176,FSLR,"First Solar, Inc.",62.5,$6.62B,2006.0,Technology,Semiconductors,62.16,,,,,,
1177,1177,FAAR,First Trust Alternative Absolute Return Strategy ETF,26.75,,,,,,,,,,,
1178,1178,FPA,First Trust Asia Pacific Ex-Japan AlphaDEX Fund,25.39,,,,,,,,,,,
1179,1179,BICK,First Trust BICK Index Fund,28.7512,,,,,,,,,,,
1180,1180,FBZ,First Trust Brazil AlphaDEX Fund,12.16,,,,,,,,,,,
1181,1181,FTHI,First Trust BuyWrite Income ETF,20.0035,,,,,,,,,,,
1182,1182,FCAL,First Trust California Municipal High income ETF,52.92,,,,,,,,,,,
1183,1183,FCAN,First Trust Canada AlphaDEX Fund,21.2734,,,,,,,,,,,
1184,1184,FTCS,First Trust Capital Strength ETF,61.47,,,,,,,,,,,
1185,1185,FCEF,First Trust CEF Income Opportunity ETF,19.2288,,,,,,,,,,,
1186,1186,FCA,First Trust China AlphaDEX Fund,26.5992,,,,,,,,,,,
1187,1187,SKYY,First Trust Cloud Computing ETF,75.86,,,,,,,,,,,
1188,1188,RNDM,First Trust Developed International Equity Select ETF,47.1392,,,,,,,,,,,
1189,1189,FDT,First Trust Developed Markets Ex-US AlphaDEX Fund,49.47,,,,,,,,,,,
1190,1190,FDTS,First Trust Developed Markets ex-US Small Cap AlphaDEX Fund,34.6764,,,,,,,,,,,
1191,1191,FVC,First Trust Dorsey Wright Dynamic Focus 5 ETF,25.59,,,,,,,,,,,
1192,1192,FV,First Trust Dorsey Wright Focus 5 ETF,33.3648,,,,,,,,,,,
1193,1193,IFV,First Trust Dorsey Wright International Focus 5 ETF,18.28,,,,,,,,,,,
1194,1194,DDIV,First Trust Dorsey Wright Momentum & Dividend ETF,20.7694,,,,,,,,,,,
1195,1195,DVOL,First Trust Dorsey Wright Momentum & Low Volatility ETF,21.724,,,,,,,,,,,
1196,1196,DVLU,First Trust Dorsey Wright Momentum & Value ETF,14.5338,,,,,,,,,,,
1197,1197,DWPP,First Trust Dorsey Wright People&#39;s Portfolio ETF,25.34,,,,,,,,,,,
1198,1198,DALI,First Trust DorseyWright DALI 1 ETF,17.6989,,,,,,,,,,,
1199,1199,FDNI,First Trust Dow Jones International Internet ETF,36.2702,,,,,,,,,,,
1200,1200,FEM,First Trust Emerging Markets AlphaDEX Fund,22.98,,,,,,,,,,,
1201,1201,RNEM,First Trust Emerging Markets Equity Select ETF,43.54,,,,,,,,,,,
1202,1202,FEMB,First Trust Emerging Markets Local Currency Bond ETF,35.5,,,,,,,,,,,
1203,1203,FEMS,First Trust Emerging Markets Small Cap AlphaDEX Fund,35.6328,,,,,,,,,,,
1204,1204,FTSM,First Trust Enhanced Short Maturity ETF,60.07,,,,,,,,,,,
1205,1205,FEP,First Trust Europe AlphaDEX Fund,32.85,,,,,,,,,,,
1206,1206,FEUZ,First Trust Eurozone AlphaDEX ETF,36.695,,,,,,,,,,,
1207,1207,FGM,First Trust Germany AlphaDEX Fund,44.195,,,,,,,,,,,
1208,1208,FTGC,First Trust Global Tactical Commodity Strategy Fund,16.26,,,,,,,,,,,
1209,1209,FTLB,First Trust Hedged BuyWrite Income ETF,20.3778,,,,,,,,,,,
1210,1210,HYLS,First Trust High Yield Long/Short ETF,47.19,,,,,,,,,,,
1211,1211,FHK,First Trust Hong Kong AlphaDEX Fund,32.2719,,,,,,,,,,,
1212,1212,NFTY,First Trust India Nifty 50 Equal Weight ETF,29.9869,,,,,,,,,,,
1213,1213,FTAG,First Trust Indxx Global Agriculture ETF,20.66,,,,,,,,,,,
1214,1214,FTRI,First Trust Indxx Global Natural Resources Income ETF,10.0305,,,,,,,,,,,
1215,1215,LEGR,First Trust Indxx Innovative Transaction & Process ETF,31.1,,,,,,,,,,,
1216,1216,NXTG,First Trust Indxx NextG ETF,57.7317,,,,,,,,,,,
1217,1217,FPXI,First Trust International Equity Opportunities ETF,54.47,,,,,,,,,,,
1218,1218,FPXE,First Trust IPOX Europe Equity Opportunities ETF,25.71,,,,,,,,,,,
1219,1219,FJP,First Trust Japan AlphaDEX Fund,46.145,,,,,,,,,,,
1220,1220,FEX,First Trust Large Cap Core AlphaDEX Fund,62.0995,,,,,,,,,,,
1221,1221,FTC,First Trust Large Cap Growth AlphaDEX Fund,80.4685,,,,,,,,,,,
1222,1222,RNLC,First Trust Large Cap US Equity Select ETF,23.62,,,,,,,,,,,
1223,1223,FTA,First Trust Large Cap Value AlphaDEX Fund,47.04,,,,,,,,,,,
1224,1224,FLN,First Trust Latin America AlphaDEX Fund,15.905,,,,,,,,,,,
1225,1225,LMBS,First Trust Low Duration Opportunities ETF,51.67,,,,,,,,,,,
1226,1226,LDSF,First Trust Low Duration Strategic Focus ETF,20.405,,,,,,,,,,,
1227,1227,FMB,First Trust Managed Municipal ETF,55.6559,,,,,,,,,,,
1228,1228,FMK,First Trust Mega Cap AlphaDEX Fund,36.3982,,,,,,,,,,,
1229,1229,FNX,First Trust Mid Cap Core AlphaDEX Fund,64.8457,,,,,,,,,,,
1230,1230,FNY,First Trust Mid Cap Growth AlphaDEX Fund,50.0649,,,,,,,,,,,
1231,1231,RNMC,First Trust Mid Cap US Equity Select ETF,20.0101,,,,,,,,,,,
1232,1232,FNK,First Trust Mid Cap Value AlphaDEX Fund,28.404,,,,,,,,,,,
1233,1233,FAD,First Trust Multi Cap Growth AlphaDEX Fund,81.69,,,,,,,,,,,
1234,1234,FAB,First Trust Multi Cap Value AlphaDEX Fund,47.6393,,,,,,,,,,,
1235,1235,MDIV,First Trust Multi-Asset Diversified Income Index Fund,13.86,,,,,,,,,,,
1236,1236,MCEF,First Trust Municipal CEF Income Opportunity ETF,19.35,,,,,,,,,,,
1237,1237,FMHI,First Trust Municipal High Income ETF,51.67,,,,,,,,,,,
1238,1238,QABA,First Trust NASDAQ ABA Community Bank Index Fund,35.06,,,,,,,,,,,
1239,1239,ROBT,First Trust Nasdaq Artificial Intelligence and Robotics ETF,37.38,,,,,,,,,,,
1240,1240,FTXO,First Trust Nasdaq Bank ETF,18.09,,,,,,,,,,,
1241,1241,QCLN,First Trust NASDAQ Clean Edge Green Energy Index Fund,35.77,,,,,,,,,,,
1242,1242,GRID,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index ,59.6395,,,,,,,,,,,
1243,1243,CIBR,First Trust NASDAQ Cybersecurity ETF,34.51,,,,,,,,,,,
1244,1244,FTXG,First Trust Nasdaq Food & Beverage ETF,20.53,,,,,,,,,,,
1245,1245,CARZ,First Trust NASDAQ Global Auto Index Fund,35.13,,,,,,,,,,,
1246,1246,FTXN,First Trust Nasdaq Oil & Gas ETF,11.14,,,,,,,,,,,
1247,1247,FTXH,First Trust Nasdaq Pharmaceuticals ETF,24.45,,,,,,,,,,,
1248,1248,FTXD,First Trust Nasdaq Retail ETF,24.8156,,,,,,,,,,,
1249,1249,FTXL,First Trust Nasdaq Semiconductor ETF,46.03,,,,,,,,,,,
1250,1250,TDIV,First Trust NASDAQ Technology Dividend Index Fund,42.97,,,,,,,,,,,
1251,1251,FTXR,First Trust Nasdaq Transportation ETF,21.0019,,,,,,,,,,,
